RepWeekDate,CoVHKU1,CoVNL63,CoVOC43,CoV229E
07/05/14,0.7912355,0,0.669507,0.1217285
07/12/14,0,0.1627781,0.596853,0.0542594
07/19/14,0.0520291,0.1040583,0.3121748,0.2081165
07/26/14,0.0518403,0.155521,0.311042,0.1036807
08/02/14,0.2717391,0.1630435,0.2717391,0.1630435
08/09/14,0.0506073,0.1012146,0.3036437,0.1518219
08/16/14,0.1008065,0.0504032,0.1512097,0.1008065
08/23/14,0,0.1303215,0.3040834,0.0434405
08/30/14,0,0,0.2778743,0.0347343
09/06/14,0,0.2209131,0.1840943,0
09/13/14,0.091352,0.1522533,0.3958587,0.2436054
09/20/14,0.135318,0.0811908,0.270636,0.0541272
09/27/14,0.0280269,0.1961883,0.2522422,0.0280269
10/04/14,0.0567698,0.3122339,0.2554641,0.0851547
10/11/14,0.0256148,0.204918,0.2561475,0.0512295
10/18/14,0,0.1485884,0.3219416,0
10/25/14,0,0.2396166,0.2662407,0.0266241
11/01/14,0.0266241,0.2928647,0.399361,0.0266241
11/08/14,0.0489117,0.2690144,0.9048667,0.0733676
11/15/14,0.023546,0.3296445,0.9889334,0.023546
11/22/14,0.0453823,0.4311323,1.5656909,0.0680735
11/29/14,0.0229568,0.3902663,1.8595041,0.0459137
12/06/14,0.0980392,0.3921569,2.8823529,0.1960784
12/13/14,0.0503356,0.5033557,2.7516779,0.2013423
12/20/14,0.0606428,0.6215888,4.1237113,0.2274106
12/27/14,0.0445831,0.7281914,4.3542874,0.0594442
01/03/15,0.0935579,0.7350976,3.8358728,0.1871157
01/10/15,0.0263019,0.7759074,4.3003682,0.2498685
01/17/15,0.2642192,0.8065638,4.505632,0.3615631
01/24/15,0.3341222,1.795907,3.8284839,0.3202005
01/31/15,0.210554,1.2370049,4.8032636,0.2895118
02/07/15,0.4576043,1.4266487,4.5760431,0.6191117
02/14/15,0.5492123,1.5898251,4.6683047,0.8816303
02/21/15,0.6593407,1.6326531,4.0502355,0.8320251
02/28/15,0.6273313,1.69549,3.8148525,0.5934215
03/07/15,0.5729633,1.557744,3.3303491,0.9310654
03/14/15,0.5228994,1.370357,2.5063109,0.9015507
03/21/15,0.5578801,1.7134887,1.8529588,1.036063
03/28/15,0.620124,1.7203441,1.6403281,1.5003001
